source_a,external_id_a,title_a,hazard_a,started_a,source_b,external_id_b,title_b,hazard_b,started_b,distance_km,days_apart,text_sim,name_match,glide_match,linked,key_conflict,score,rule,pipeline,merged_by,same_event,notes,labelled_by
gdacs,1104113,Flood in Senegal,flood,2026-08-19T01:00:00Z,eonet,EONET_23076,Flood in Senegal 1104113,flood,2026-08-18T20:00:00Z,0.0,0.21,1.0,no,no,yes,no,0.9875,weighted,merged,key,yes,EONET item cites GDACS eventid 1104113 in sources[].url; polygon centroid 0.0 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104117,Flood in Guinea,flood,2026-08-23T01:00:00Z,eonet,EONET_23287,Flood in Guinea 1104117,flood,2026-08-22T20:00:00Z,0.0,0.21,1.0,no,no,yes,no,0.9875,weighted,merged,key,yes,EONET item cites GDACS eventid 1104117 in sources[].url; polygon centroid 0.0 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104133,Flood in South Korea,flood,2026-08-29T01:00:00Z,eonet,EONET_23691,Flood in South Korea 1104133,flood,2026-08-28T20:00:00Z,0.0,0.21,1.0,no,no,yes,no,0.9875,weighted,merged,key,yes,EONET item cites GDACS eventid 1104133 in sources[].url; polygon centroid 0.0 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104152,Flood in Slovenia,flood,2026-09-10T01:00:00Z,eonet,EONET_24244,Flood in Slovenia 1104152,flood,2026-09-09T20:00:00Z,2.0,0.21,1.0,no,no,yes,no,0.9835,weighted,merged,key,yes,EONET item cites GDACS eventid 1104152 in sources[].url; polygon centroid 2.0 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104138,Flood in Lithuania,flood,2026-09-01T01:00:00Z,eonet,EONET_23801,Flood in Lithuania 1104138,flood,2026-08-31T20:00:00Z,2.2,0.21,1.0,no,no,yes,no,0.9832,weighted,merged,key,yes,EONET item cites GDACS eventid 1104138 in sources[].url; polygon centroid 2.2 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104128,Flood in Georgia,flood,2026-08-27T01:00:00Z,eonet,EONET_23618,Flood in Georgia 1104128,flood,2026-08-26T20:00:00Z,3.6,0.21,1.0,no,no,yes,no,0.9802,weighted,merged,key,yes,EONET item cites GDACS eventid 1104128 in sources[].url; polygon centroid 3.6 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104146,Flood in Indonesia,flood,2026-09-06T01:00:00Z,eonet,EONET_24157,Flood in Indonesia 1104146,flood,2026-09-05T20:00:00Z,77.0,0.21,1.0,no,no,yes,no,0.8335,weighted,merged,key,yes,EONET item cites GDACS eventid 1104146 in sources[].url; polygon centroid 77.0 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104124,Flood in Nepal,flood,2026-08-26T01:00:00Z,eonet,EONET_23468,Flood in Nepal 1104124,flood,2026-08-25T20:00:00Z,85.5,0.21,1.0,no,no,yes,no,0.8166,weighted,merged,key,yes,EONET item cites GDACS eventid 1104124 in sources[].url; polygon centroid 85.5 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104126,Flood in New Zealand,flood,2026-08-27T01:00:00Z,eonet,EONET_23529,Flood in New Zealand 1104126,flood,2026-08-26T20:00:00Z,90.2,0.21,1.0,no,no,yes,no,0.807,weighted,merged,key,yes,EONET item cites GDACS eventid 1104126 in sources[].url; polygon centroid 90.2 km from the GDACS point,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1104124,Flood in Nepal,flood,2026-08-26T01:00:00Z,copernicus,EMSR927,Flood in Nepal,flood,2026-08-25T22:00:00Z,102.0,0.12,1.0,no,no,yes,no,0.7886,weighted,merged,key,yes,Copernicus activation carries gdacsId FL1104124,"starter set (Claude, 2026-09-17): review and overwrite"
eonet,EONET_23468,Flood in Nepal 1104124,flood,2026-08-25T20:00:00Z,copernicus,EMSR927,Flood in Nepal,flood,2026-08-25T22:00:00Z,16.8,0.08,1.0,no,no,no,no,0.9614,weighted,merged,key,yes,"both cite GDACS eventid 1104124 (EONET sources[].url, Copernicus gdacsId)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001310,Tropical Cyclone JULIO-26,tropical_cyclone,2026-08-24T21:00:00Z,eonet,EONET_23205,Tropical Storm Iselle,tropical_cyclone,2026-08-23T00:00:00Z,67.5,1.88,0.2,no,no,no,no,0.7162,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001307,Tropical Cyclone NARRA-26,tropical_cyclone,2026-08-20T18:00:00Z,eonet,EONET_22926,Typhoon Saudel,tropical_cyclone,2026-08-19T00:00:00Z,63.7,1.75,0.0,no,no,no,no,0.6838,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001312,Tropical Cyclone ETAU-26,tropical_cyclone,2026-08-27T00:00:00Z,eonet,EONET_23613,Tropical Storm Bang-Lang,tropical_cyclone,2026-08-27T06:00:00Z,152.7,0.25,0.167,no,no,no,no,0.6732,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001310,Tropical Cyclone JULIO-26,tropical_cyclone,2026-08-24T21:00:00Z,eonet,EONET_23800,Cyclone Marie,tropical_cyclone,2026-09-01T06:00:00Z,23.5,7.38,0.25,no,no,no,no,0.6052,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001311,Tropical Cyclone BANG-LANG-26,tropical_cyclone,2026-08-26T06:00:00Z,eonet,EONET_23614,Tropical Storm Etau,tropical_cyclone,2026-08-27T00:00:00Z,279.8,0.75,0.167,no,no,no,no,0.5311,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001309,Tropical Cyclone ISELLE-26,tropical_cyclone,2026-08-23T15:00:00Z,eonet,EONET_23800,Cyclone Marie,tropical_cyclone,2026-09-01T06:00:00Z,204.9,8.62,0.25,no,no,no,no,0.3863,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001314,Tropical Cyclone KARINA-26,tropical_cyclone,2026-08-27T21:00:00Z,eonet,EONET_23612,Cyclone Lowell,tropical_cyclone,2026-08-27T18:00:00Z,1118.3,0.12,0.25,no,no,no,no,0.3463,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001315,Tropical Cyclone LOWELL-26,tropical_cyclone,2026-08-27T21:00:00Z,eonet,EONET_23611,Hurricane Karina,tropical_cyclone,2026-08-27T18:00:00Z,2503.7,0.12,0.0,no,no,no,no,0.2963,weighted,separate,,no,two differently named storms in the same basin and week,"starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031730,Forest fires in Australia,wildfire,2026-08-30T00:00:00Z,eonet,EONET_24037,Wildfire in Australia 1031728,wildfire,2026-08-29T19:00:00Z,0.0,0.21,0.25,no,no,no,yes,0.8411,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031728), 0.0 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031904,Forest fires in Zambia,wildfire,2026-09-07T00:00:00Z,eonet,EONET_24281,Wildfire in Zambia 1031929,wildfire,2026-09-04T19:00:00Z,0.1,2.21,0.25,no,no,no,yes,0.7547,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031929), 0.1 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031508,Forest fires in Zambia,wildfire,2026-08-30T00:00:00Z,eonet,EONET_23905,Wildfire in Zambia 1031590,wildfire,2026-08-27T19:00:00Z,0.5,2.21,0.25,no,no,no,yes,0.753,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031590), 0.5 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031202,Forest fires in Russian Federation,wildfire,2026-08-22T00:00:00Z,eonet,EONET_23559,Wildfire in Russian Federation 1031315,wildfire,2026-08-21T19:00:00Z,0.6,0.21,0.4,no,no,no,yes,0.8682,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031315), 0.6 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031109,Forest fires in Indonesia,wildfire,2026-08-21T00:00:00Z,eonet,EONET_23302,Wildfire in Indonesia 1031101,wildfire,2026-08-20T19:00:00Z,0.6,0.21,0.25,no,no,no,yes,0.8382,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031101), 0.6 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031617,Forest fires in Mozambique,wildfire,2026-08-31T00:00:00Z,eonet,EONET_24033,Wildfire in Mozambique 1031714,wildfire,2026-08-29T19:00:00Z,0.6,1.21,0.25,no,no,no,yes,0.7952,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031714), 0.6 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031707,Forest fires in Mozambique,wildfire,2026-08-30T00:00:00Z,eonet,EONET_23961,Wildfire in Mozambique 1031624,wildfire,2026-08-29T19:00:00Z,0.7,0.21,0.25,no,no,no,yes,0.8375,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031624), 0.7 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031466,Forest fires in Russian Federation,wildfire,2026-08-25T00:00:00Z,eonet,EONET_23792,Wildfire in Russian Federation 1031489,wildfire,2026-08-22T19:00:00Z,0.7,2.21,0.4,no,no,no,yes,0.782,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031489), 0.7 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031502,Forest fires in Angola,wildfire,2026-08-31T00:00:00Z,eonet,EONET_24138,Wildfire in Angola 1031805,wildfire,2026-08-30T19:00:00Z,0.8,0.21,0.25,no,no,no,yes,0.8369,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031805), 0.8 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031428,Forest fires in Australia,wildfire,2026-08-24T00:00:00Z,eonet,EONET_23704,Wildfire in Australia 1031416,wildfire,2026-08-26T19:00:00Z,1.0,2.79,0.25,no,no,no,yes,0.7253,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031416), 1.0 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031252,Forest fires in The Democratic Republic of Congo,wildfire,2026-08-20T00:00:00Z,eonet,EONET_23362,Wildfire in The Democratic Republic of Congo 1031124,wildfire,2026-08-19T19:00:00Z,1.5,0.21,0.5,no,no,no,yes,0.8835,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031124), 1.5 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031607,Forest fires in The Democratic Republic of Congo,wildfire,2026-09-01T00:00:00Z,eonet,EONET_24131,"Wildfire in The Democratic Republic of Congo, Congo 1031798",wildfire,2026-08-31T19:00:00Z,1.8,0.21,0.5,no,no,no,yes,0.8822,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031798), 1.8 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031170,Forest fires in Angola,wildfire,2026-08-20T00:00:00Z,eonet,EONET_23291,Wildfire in Angola 1031095,wildfire,2026-08-22T19:00:00Z,1.8,2.79,0.25,no,no,no,yes,0.7214,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031095), 1.8 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031054,Forest fires in Tanzania,wildfire,2026-08-24T00:00:00Z,eonet,EONET_23346,Wildfire in Tanzania 1031117,wildfire,2026-08-22T19:00:00Z,2.1,1.21,0.25,no,no,no,yes,0.7876,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031117), 2.1 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031798,"Forest fires in The Democratic Republic of Congo, Congo",wildfire,2026-09-01T00:00:00Z,eonet,EONET_23940,Wildfire in The Democratic Republic of Congo 1031607,wildfire,2026-08-31T19:00:00Z,2.2,0.21,0.5,no,no,no,yes,0.88,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031607), 2.2 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031435,Forest fires in Tanzania,wildfire,2026-08-27T00:00:00Z,eonet,EONET_23583,Wildfire in Tanzania 1031323,wildfire,2026-08-26T19:00:00Z,2.2,0.21,0.25,no,no,no,yes,0.8302,weighted,separate,,no,"EONET item mirrors a different GDACS event (1031323), 2.2 km away: the source keeps them apart","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1031999,Forest fires in Croatia,wildfire,2026-09-11T00:00:00Z,copernicus,EMSR931,"Wildfire in Island of Brac, Croatia",wildfire,2026-09-10T20:15:00Z,2.3,0.16,0.2,no,no,no,no,0.822,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031672,Forest fires in United States,wildfire,2026-09-03T00:00:00Z,eonet,EONET_23870,"Wildfire Snow, Custer, Montana",wildfire,2026-09-02T22:16:00Z,1.4,0.07,0.0,no,no,no,no,0.7897,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031195,Forest fires in United States,wildfire,2026-08-23T00:00:00Z,eonet,EONET_23211,"Wildfire McCulley, Baker, Oregon",wildfire,2026-08-22T18:38:00Z,2.6,0.22,0.0,no,no,no,no,0.7777,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031266,Forest fires in United States,wildfire,2026-08-22T00:00:00Z,eonet,EONET_23451,"Wildfire Camp Creek, Powell, Montana",wildfire,2026-08-21T19:25:00Z,3.0,0.19,0.0,no,no,no,no,0.7769,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031351,Forest fires in United States,wildfire,2026-08-19T00:00:00Z,eonet,EONET_23220,"Wildfire CROOKED, Boise, Idaho",wildfire,2026-08-18T20:19:00Z,4.2,0.15,0.0,no,no,no,no,0.7726,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031047,Forest fires in United States,wildfire,2026-08-21T00:00:00Z,eonet,EONET_23224,"Wildfire Chipmunk, Miami-Dade, Florida",wildfire,2026-08-21T15:40:00Z,1.5,0.65,0.0,no,no,no,no,0.7643,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031257,Forest fires in United States,wildfire,2026-08-26T00:00:00Z,eonet,EONET_23455,"Wildfire McConnell, Humboldt, Nevada",wildfire,2026-08-25T20:43:00Z,7.2,0.14,0.0,no,no,no,no,0.7582,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1001306,Tropical Cyclone TWO-C-26,tropical_cyclone,2026-08-20T15:00:00Z,eonet,EONET_23206,Tropical Storm Moke,tropical_cyclone,2026-08-21T18:00:00Z,65.0,1.12,0.2,no,no,no,no,0.7412,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031047,Forest fires in United States,wildfire,2026-08-21T00:00:00Z,eonet,EONET_23222,"Wildfire Movie Dome, Miami-Dade, Florida",wildfire,2026-08-19T19:42:00Z,12.1,1.18,0.0,no,no,no,no,0.6888,weighted,proposed,,,open proposal: decide here or in the Review tab,
gdacs,1031672,Forest fires in United States,wildfire,2026-09-03T00:00:00Z,eonet,EONET_23869,"Wildfire Ayers Pond, Prairie, Montana",wildfire,2026-09-03T01:45:00Z,34.1,0.07,0.0,no,no,no,no,0.6266,weighted,proposed,,,open proposal: decide here or in the Review tab,
